type_nt,grouped_type,rpm,unique_tag,group
3'+1,3'isomiR,40321.69769861229,77.0,14hr
3'+2,3'isomiR,48171.428243152535,81.0,14hr
3'+3,3'isomiR,3550.7073106350344,62.0,14hr
3'+4,3'isomiR,369.70410335559336,33.5,14hr
3'+5,3'isomiR,112.5243795956536,15.0,14hr
3'+6,3'isomiR,10.686914506614167,2.0,14hr
3'-1,3'isomiR,129740.73803745449,37.0,14hr
3'-2,3'isomiR,12250.082291857423,27.5,14hr
3'-3,3'isomiR,2220.4735447130915,16.0,14hr
3'-4,3'isomiR,699.494954869074,16.5,14hr
3'-5,3'isomiR,219.2117591690215,4.5,14hr
3'-6,3'isomiR,1.409934131926188,1.5,14hr
5'+1,5'isomiR,1861.8887776134845,13.5,14hr
5'+2,5'isomiR,3.641070343369241,3.0,14hr
5'-1,5'isomiR,849.3059630249198,21.0,14hr
3'+1,3'isomiR,25328.32121966146,76.5,18hr
3'+2,3'isomiR,20096.371337181783,79.0,18hr
3'+3,3'isomiR,1845.8503109428548,60.0,18hr
3'+4,3'isomiR,167.03116980927788,34.0,18hr
3'+5,3'isomiR,40.21767304002053,14.5,18hr
3'+6,3'isomiR,3.4393197772898567,2.0,18hr
3'-1,3'isomiR,93462.92718319055,37.0,18hr
3'-2,3'isomiR,6628.1751652218445,27.5,18hr
3'-3,3'isomiR,986.7955371798703,15.5,18hr
3'-4,3'isomiR,284.71460818218327,16.0,18hr
3'-5,3'isomiR,79.98367665874233,5.0,18hr
3'-6,3'isomiR,1.689191630413445,1.5,18hr
5'+1,5'isomiR,1650.5113381327144,14.0,18hr
5'+2,5'isomiR,2.81797506502466,3.0,18hr
5'-1,5'isomiR,857.2852161074939,21.0,18hr
3'+1,3'isomiR,25328.32121966146,76.5,20hr
3'+2,3'isomiR,20096.371337181783,79.0,20hr
3'+3,3'isomiR,1845.8503109428548,60.0,20hr
3'+4,3'isomiR,167.03116980927788,34.0,20hr
3'+5,3'isomiR,40.21767304002053,14.5,20hr
3'+6,3'isomiR,3.4393197772898567,2.0,20hr
3'-1,3'isomiR,93462.92718319055,37.0,20hr
3'-2,3'isomiR,6628.1751652218445,27.5,20hr
3'-3,3'isomiR,986.7955371798703,15.5,20hr
3'-4,3'isomiR,284.71460818218327,16.0,20hr
3'-5,3'isomiR,79.98367665874233,5.0,20hr
3'-6,3'isomiR,1.689191630413445,1.5,20hr
5'+1,5'isomiR,1650.5113381327144,14.0,20hr
5'+2,5'isomiR,2.81797506502466,3.0,20hr
5'-1,5'isomiR,857.2852161074939,21.0,20hr
3'+1,3'isomiR,25328.32121966146,76.5,24hr
3'+2,3'isomiR,20096.371337181783,79.0,24hr
3'+3,3'isomiR,1845.8503109428548,60.0,24hr
3'+4,3'isomiR,167.03116980927788,34.0,24hr
3'+5,3'isomiR,40.21767304002053,14.5,24hr
3'+6,3'isomiR,3.4393197772898567,2.0,24hr
3'-1,3'isomiR,93462.92718319055,37.0,24hr
3'-2,3'isomiR,6628.1751652218445,27.5,24hr
3'-3,3'isomiR,986.7955371798703,15.5,24hr
3'-4,3'isomiR,284.71460818218327,16.0,24hr
3'-5,3'isomiR,79.98367665874233,5.0,24hr
3'-6,3'isomiR,1.689191630413445,1.5,24hr
5'+1,5'isomiR,1650.5113381327144,14.0,24hr
5'+2,5'isomiR,2.81797506502466,3.0,24hr
5'-1,5'isomiR,857.2852161074939,21.0,24hr
