position,templated,count,group
5'+3,Templated,44.0,14hr
5'+3,Nontemplated,11.0,14hr
5'+2,Templated,58.0,14hr
5'+2,Nontemplated,50.5,14hr
5'+1,Templated,141.0,14hr
5'+1,Nontemplated,47.0,14hr
1,Templated,1253.0,14hr
1,Nontemplated,90.0,14hr
2,Templated,1435.5,14hr
2,Nontemplated,0.0,14hr
3,Templated,1435.5,14hr
3,Nontemplated,0.0,14hr
4,Templated,1435.5,14hr
4,Nontemplated,0.0,14hr
5,Templated,1435.5,14hr
5,Nontemplated,0.0,14hr
6,Templated,1435.5,14hr
6,Nontemplated,0.0,14hr
7,Templated,1435.5,14hr
7,Nontemplated,0.0,14hr
8,Templated,1388.0,14hr
8,Nontemplated,47.5,14hr
9,Templated,1388.5,14hr
9,Nontemplated,47.0,14hr
10,Templated,1379.0,14hr
10,Nontemplated,56.5,14hr
11,Templated,1394.0,14hr
11,Nontemplated,41.5,14hr
12,Templated,1379.5,14hr
12,Nontemplated,56.0,14hr
13,Templated,1406.0,14hr
13,Nontemplated,29.5,14hr
14,Templated,1378.5,14hr
14,Nontemplated,57.0,14hr
15,Templated,1404.0,14hr
15,Nontemplated,31.5,14hr
16,Templated,1381.5,14hr
16,Nontemplated,54.0,14hr
17,Templated,1401.5,14hr
17,Nontemplated,34.0,14hr
18,Templated,1331.5,14hr
18,Nontemplated,88.0,14hr
19,Templated,1301.0,14hr
19,Nontemplated,72.5,14hr
20,Templated,1182.5,14hr
20,Nontemplated,110.0,14hr
21,Templated,1062.0,14hr
21,Nontemplated,109.0,14hr
22,Templated,795.5,14hr
22,Nontemplated,95.5,14hr
23,Templated,427.5,14hr
23,Nontemplated,128.5,14hr
24,Templated,140.0,14hr
24,Nontemplated,110.0,14hr
25,Templated,44.5,14hr
25,Nontemplated,61.0,14hr
26,Templated,10.0,14hr
26,Nontemplated,30.0,14hr
27,Templated,2.0,14hr
27,Nontemplated,4.0,14hr
28,Templated,0.0,14hr
28,Nontemplated,0.0,14hr
29,Templated,0.0,14hr
29,Nontemplated,0.0,14hr
30,Templated,0.0,14hr
30,Nontemplated,0.0,14hr
31,Templated,0.0,14hr
31,Nontemplated,0.0,14hr
5'+3,Templated,41.5,18hr
5'+3,Nontemplated,10.5,18hr
5'+2,Templated,54.0,18hr
5'+2,Nontemplated,49.5,18hr
5'+1,Templated,137.0,18hr
5'+1,Nontemplated,45.5,18hr
1,Templated,1251.0,18hr
1,Nontemplated,90.0,18hr
2,Templated,1433.5,18hr
2,Nontemplated,0.0,18hr
3,Templated,1433.5,18hr
3,Nontemplated,0.0,18hr
4,Templated,1433.5,18hr
4,Nontemplated,0.0,18hr
5,Templated,1433.5,18hr
5,Nontemplated,0.0,18hr
6,Templated,1433.5,18hr
6,Nontemplated,0.0,18hr
7,Templated,1433.5,18hr
7,Nontemplated,0.0,18hr
8,Templated,1388.5,18hr
8,Nontemplated,45.0,18hr
9,Templated,1384.5,18hr
9,Nontemplated,49.0,18hr
10,Templated,1375.5,18hr
10,Nontemplated,58.0,18hr
11,Templated,1392.0,18hr
11,Nontemplated,41.5,18hr
12,Templated,1372.5,18hr
12,Nontemplated,61.0,18hr
13,Templated,1404.0,18hr
13,Nontemplated,29.5,18hr
14,Templated,1376.5,18hr
14,Nontemplated,57.0,18hr
15,Templated,1399.5,18hr
15,Nontemplated,34.0,18hr
16,Templated,1380.0,18hr
16,Nontemplated,53.5,18hr
17,Templated,1399.5,18hr
17,Nontemplated,34.0,18hr
18,Templated,1335.5,18hr
18,Nontemplated,83.0,18hr
19,Templated,1306.0,18hr
19,Nontemplated,68.0,18hr
20,Templated,1186.0,18hr
20,Nontemplated,109.0,18hr
21,Templated,1068.0,18hr
21,Nontemplated,103.5,18hr
22,Templated,802.5,18hr
22,Nontemplated,97.5,18hr
23,Templated,444.5,18hr
23,Nontemplated,124.5,18hr
24,Templated,141.5,18hr
24,Nontemplated,108.0,18hr
25,Templated,44.5,18hr
25,Nontemplated,59.5,18hr
26,Templated,10.0,18hr
26,Nontemplated,29.5,18hr
27,Templated,2.0,18hr
27,Nontemplated,4.0,18hr
28,Templated,0.0,18hr
28,Nontemplated,0.0,18hr
29,Templated,0.0,18hr
29,Nontemplated,0.0,18hr
30,Templated,0.0,18hr
30,Nontemplated,0.0,18hr
31,Templated,0.0,18hr
31,Nontemplated,0.0,18hr
5'+3,Templated,41.5,20hr
5'+3,Nontemplated,10.5,20hr
5'+2,Templated,54.0,20hr
5'+2,Nontemplated,49.5,20hr
5'+1,Templated,137.0,20hr
5'+1,Nontemplated,45.5,20hr
1,Templated,1251.0,20hr
1,Nontemplated,90.0,20hr
2,Templated,1433.5,20hr
2,Nontemplated,0.0,20hr
3,Templated,1433.5,20hr
3,Nontemplated,0.0,20hr
4,Templated,1433.5,20hr
4,Nontemplated,0.0,20hr
5,Templated,1433.5,20hr
5,Nontemplated,0.0,20hr
6,Templated,1433.5,20hr
6,Nontemplated,0.0,20hr
7,Templated,1433.5,20hr
7,Nontemplated,0.0,20hr
8,Templated,1388.5,20hr
8,Nontemplated,45.0,20hr
9,Templated,1384.5,20hr
9,Nontemplated,49.0,20hr
10,Templated,1375.5,20hr
10,Nontemplated,58.0,20hr
11,Templated,1392.0,20hr
11,Nontemplated,41.5,20hr
12,Templated,1372.5,20hr
12,Nontemplated,61.0,20hr
13,Templated,1404.0,20hr
13,Nontemplated,29.5,20hr
14,Templated,1376.5,20hr
14,Nontemplated,57.0,20hr
15,Templated,1399.5,20hr
15,Nontemplated,34.0,20hr
16,Templated,1380.0,20hr
16,Nontemplated,53.5,20hr
17,Templated,1399.5,20hr
17,Nontemplated,34.0,20hr
18,Templated,1335.5,20hr
18,Nontemplated,83.0,20hr
19,Templated,1306.0,20hr
19,Nontemplated,68.0,20hr
20,Templated,1186.0,20hr
20,Nontemplated,109.0,20hr
21,Templated,1068.0,20hr
21,Nontemplated,103.5,20hr
22,Templated,802.5,20hr
22,Nontemplated,97.5,20hr
23,Templated,444.5,20hr
23,Nontemplated,124.5,20hr
24,Templated,141.5,20hr
24,Nontemplated,108.0,20hr
25,Templated,44.5,20hr
25,Nontemplated,59.5,20hr
26,Templated,10.0,20hr
26,Nontemplated,29.5,20hr
27,Templated,2.0,20hr
27,Nontemplated,4.0,20hr
28,Templated,0.0,20hr
28,Nontemplated,0.0,20hr
29,Templated,0.0,20hr
29,Nontemplated,0.0,20hr
30,Templated,0.0,20hr
30,Nontemplated,0.0,20hr
31,Templated,0.0,20hr
31,Nontemplated,0.0,20hr
5'+3,Templated,41.5,24hr
5'+3,Nontemplated,10.5,24hr
5'+2,Templated,54.0,24hr
5'+2,Nontemplated,49.5,24hr
5'+1,Templated,137.0,24hr
5'+1,Nontemplated,45.5,24hr
1,Templated,1251.0,24hr
1,Nontemplated,90.0,24hr
2,Templated,1433.5,24hr
2,Nontemplated,0.0,24hr
3,Templated,1433.5,24hr
3,Nontemplated,0.0,24hr
4,Templated,1433.5,24hr
4,Nontemplated,0.0,24hr
5,Templated,1433.5,24hr
5,Nontemplated,0.0,24hr
6,Templated,1433.5,24hr
6,Nontemplated,0.0,24hr
7,Templated,1433.5,24hr
7,Nontemplated,0.0,24hr
8,Templated,1388.5,24hr
8,Nontemplated,45.0,24hr
9,Templated,1384.5,24hr
9,Nontemplated,49.0,24hr
10,Templated,1375.5,24hr
10,Nontemplated,58.0,24hr
11,Templated,1392.0,24hr
11,Nontemplated,41.5,24hr
12,Templated,1372.5,24hr
12,Nontemplated,61.0,24hr
13,Templated,1404.0,24hr
13,Nontemplated,29.5,24hr
14,Templated,1376.5,24hr
14,Nontemplated,57.0,24hr
15,Templated,1399.5,24hr
15,Nontemplated,34.0,24hr
16,Templated,1380.0,24hr
16,Nontemplated,53.5,24hr
17,Templated,1399.5,24hr
17,Nontemplated,34.0,24hr
18,Templated,1335.5,24hr
18,Nontemplated,83.0,24hr
19,Templated,1306.0,24hr
19,Nontemplated,68.0,24hr
20,Templated,1186.0,24hr
20,Nontemplated,109.0,24hr
21,Templated,1068.0,24hr
21,Nontemplated,103.5,24hr
22,Templated,802.5,24hr
22,Nontemplated,97.5,24hr
23,Templated,444.5,24hr
23,Nontemplated,124.5,24hr
24,Templated,141.5,24hr
24,Nontemplated,108.0,24hr
25,Templated,44.5,24hr
25,Nontemplated,59.5,24hr
26,Templated,10.0,24hr
26,Nontemplated,29.5,24hr
27,Templated,2.0,24hr
27,Nontemplated,4.0,24hr
28,Templated,0.0,24hr
28,Nontemplated,0.0,24hr
29,Templated,0.0,24hr
29,Nontemplated,0.0,24hr
30,Templated,0.0,24hr
30,Nontemplated,0.0,24hr
31,Templated,0.0,24hr
31,Nontemplated,0.0,24hr
