position,templated,count,group
5'+1,Templated,14.0,14hr
5'+1,Nontemplated,4.0,14hr
5'+2,Templated,5.0,14hr
5'+2,Nontemplated,5.5,14hr
5'+3,Templated,4.0,14hr
5'+3,Nontemplated,1.0,14hr
3'+1,Templated,39.5,14hr
3'+1,Nontemplated,15.0,14hr
3'+2,Templated,22.5,14hr
3'+2,Nontemplated,8.5,14hr
3'+3,Templated,5.5,14hr
3'+3,Nontemplated,7.0,14hr
3'+4,Templated,1.0,14hr
3'+4,Nontemplated,3.0,14hr
3'+5,Templated,9.0,14hr
3'+5,Nontemplated,9.0,14hr
3'+6,Templated,0.0,14hr
3'+6,Nontemplated,2.0,14hr
5'+1,Templated,13.0,18hr
5'+1,Nontemplated,4.5,18hr
5'+2,Templated,5.0,18hr
5'+2,Nontemplated,4.5,18hr
5'+3,Templated,4.5,18hr
5'+3,Nontemplated,10.5,18hr
3'+1,Templated,40.0,18hr
3'+1,Nontemplated,15.5,18hr
3'+2,Templated,21.0,18hr
3'+2,Nontemplated,8.0,18hr
3'+3,Templated,5.0,18hr
3'+3,Nontemplated,7.0,18hr
3'+4,Templated,1.5,18hr
3'+4,Nontemplated,3.5,18hr
3'+5,Templated,9.0,18hr
3'+5,Nontemplated,8.5,18hr
3'+6,Templated,0.0,18hr
3'+6,Nontemplated,2.0,18hr
5'+1,Templated,13.0,20hr
5'+1,Nontemplated,4.5,20hr
5'+2,Templated,5.0,20hr
5'+2,Nontemplated,4.5,20hr
5'+3,Templated,4.5,20hr
5'+3,Nontemplated,10.5,20hr
3'+1,Templated,40.0,20hr
3'+1,Nontemplated,15.5,20hr
3'+2,Templated,21.0,20hr
3'+2,Nontemplated,8.0,20hr
3'+3,Templated,5.0,20hr
3'+3,Nontemplated,7.0,20hr
3'+4,Templated,1.5,20hr
3'+4,Nontemplated,3.5,20hr
3'+5,Templated,9.0,20hr
3'+5,Nontemplated,8.5,20hr
3'+6,Templated,0.0,20hr
3'+6,Nontemplated,2.0,20hr
5'+1,Templated,13.0,24hr
5'+1,Nontemplated,4.5,24hr
5'+2,Templated,5.0,24hr
5'+2,Nontemplated,4.5,24hr
5'+3,Templated,4.5,24hr
5'+3,Nontemplated,10.5,24hr
3'+1,Templated,40.0,24hr
3'+1,Nontemplated,15.5,24hr
3'+2,Templated,21.0,24hr
3'+2,Nontemplated,8.0,24hr
3'+3,Templated,5.0,24hr
3'+3,Nontemplated,7.0,24hr
3'+4,Templated,1.5,24hr
3'+4,Nontemplated,3.5,24hr
3'+5,Templated,9.0,24hr
3'+5,Nontemplated,8.5,24hr
3'+6,Templated,0.0,24hr
3'+6,Nontemplated,2.0,24hr
